recipe_name,prep_time,cook_time,total_time,servings,ingredients,instructions,ingredient_names
Pancit Palabok,30 minutes,30 minutes,1 hour,6,"1/2 pound shrimp|canola oil|1/2 pound pork belly, diced|8 ounces firm tofu|1/2 cup tinapa flakes|1 head garlic, peeled and minced|1 cup pork cracklings (chicharon), crushed|4 hardboiled eggs, peeled and quartered|1/4 cup green onions, chopped|calamansi or lemon, cut into wedges|shrimp heads ( reserved from peeling the shrimp)|5 cups water|1/4 cup canola oil|2 tablespoons annatto seeds|? cup flour|2 pieces shrimp bouillon|salt and pepper to taste|1 package (8 ounces) cornstarch or rice stick noodles","Peel shrimp, leaving tail intact. Reserve shrimp heads. In a saucepan over medium heat, bring 1 cup water to a boil. Place shrimp in a fine-mesh sieve and dip in the boiling water until the shrimp change color. Remove from the pot and set aside. Reserve liquid.|In a skillet over medium heat, add pork belly and cook, stirring occasionally, it releases oil. Continue to cook until browned and cooked through. Remove from pan and drain on paper towels.|Drain tofu from packing liquid and wrap with paper towels to rid of extra moisture. Cut into 1/4-inch cubes. In a wide pan, heat about 1-inch deep of oil. Add tofu and deep-fry until golden brown and crisp. Using a slotted spoon, remove from, and set aside.|In a pan over medium heat, add 1 tablespoon oil. Add tinapa flakes and cook, stirring regularly, for about 1 to 2 minutes or until lightly browned and heated through. Remove from pan and set aside.|In a small pan over low heat, heat about 1/4 cup oil. Add garlic and cook until lightly browned and crisp. With a slotted spoon, remove toasted garlic and drain on paper towels. Reserve 3 tablespoons of the garlic oil.|With a knife, coarsely chop reserved shrimp heads.|In a pot over medium heat, combine shrimp heads and 5 cups water. Bring to a boil, skimming any foam that rises on top. Lower heat and simmer for about 10 minutes to extract flavor. Using a fine-mesh strainer, strain liquid and discard shrimp solids. Reserve 5 cups of the stock.|In a saucepot over medium heat, heat 1/4 cup canola oil. Add 2 tablespoons of annatto seeds and cook, stirring regularly, until oil is infused with deep-orange color. With a slotted spoon, remove seeds and discard.|Add flour to the annatto oil and cook, stirring constantly, for about 1 minute or until smooth.|Slowly add shrimp stock, whisking vigorously to prevent lumps. Bring to a boil and then lower heat to a simmer.|Add shrimp bouillon and stir until dissolved.|Cook, stirring regularly, for about 3 to 5 minutes or until thickened. Season with salt and pepper to taste.|In a large bowl, soak rice noodles in water for about 1 to 2 minutes or just until loosened. Drain well.|In a pot over medium heat, bring about 6 cups water to a brisk boil. Add noodles and cook for about 1 minute. Drain well.|Place noodles onto serving plates. Spoon sauce over noodles.|Top with shrimp, chicharon, fried pork, crispy tofu, tinapa flakes, hardboiled eggs, toasted garlic bits, and green onions. Serve with calamansi wedges.",shrimp | canola oil | pork | firm tofu | tinapa flake | pork crackling | egg | green onion | calamansi | the shrimp | annatto seed | flour | shrimp bouillon | salt and pepper | rice noodle
Lumpiang Sariwa,20 minutes,40 minutes,1 hour,12,"1 tablespoon canola oil|1 onion, peeled and chopped|2 cloves garlic, peeled and minced|2 tablespoons fish sauce|1 pound carrots, peeled and diced|1 pound sweet potatoes (kamote), peeled and diced|1/4 pound green beans, ends trimmed and cut into 1/4 inch thick|1/2 pound bean sprouts|1 tablespoon sugar|1 cup corn starch|1 1/2 cups water|3 eggs, beaten|2 teaspoons canola oil|1 teaspoon salt|1 teaspoon sugar|non-stick cooking spray or oil|5 1/2 cups water|1/2 cup soy sauce|1 1/2 cups brown sugar|1 teaspoon salt|6 tablespoons corn starch|1 cup unsalted peanuts, ground|1 head garlic, peeled and minced|2 tablespoons peanut butter|2 heads green leaf lettuce","In a wide pan over medium heat, heat oil. Add onions and garlic and cook until softened.|Add fish sauce and cook for another 1 to 2 minutes.|Add carrots, sweet potatoes, and green beans. Stir to combine.|Lower heat, cover and cook for about 7 to 10 minutes or until tender.|Add mung bean sprouts and continue to cook until tender-crisp.|Add sugar and stir to distribute.|Remove from pan and drain well in a colander.|In a  bowl, combine cornstarch and water. Whisk together until smooth.|Add eggs, oil, salt, and sugar. Stir to combine into a thin, runny batter.|Set a 9-inch nonstick pan over low heat. Lightly spray surface of pan with nonstick cooking spray or lightly brush with oil.|Add 1/4 cup batter and gently swirl to cover the bottom of the pan.|Cook for about 30 to 40 seconds. When edges begin to pull from sides and small bubbles begin to form in the middle of crepe, gently flip to other side using a spatula.|Cook for another 10 seconds or until the top is firm and dry.|Remove the crepe wrapper from the pan by gently sliding onto a plate. Repeat with remaining batter, spraying the pan with nonstick cooking spray in between cooking.|Place a sheet of wax paper between the crepes to keep from sticking together.|In a saucepot over medium heat, combine 5 cups of the water, soy sauce, brown sugar, and salt. Bring to a boil, stirring regularly, until sugar is dissolved.|Add garlic and peanuts. Continue to cook for about 2 to 3 minutes.|In a bowl, combine corn starch and the remaining 1/2 cup water. Stir until corn starch is dissolved and mixture is smooth.|Whisking vigorously, slowly add corn starch slurry into the soy sauce mixture. Continue to cook, whisking regularly, until thickened.|Add peanut butter and stir until dissolved and well combined.|Separate the lettuce leaves and rinse well under cold, running water. Drain well.|Lay a wrapper on a flat surface and place a lettuce leaf on top.|Spoon about 1/2 cup filling across the middle of wrapper and fold sides to cover the filling.|To serve, pour sauce over the prepared lumpia and garnish with additional minced garlic and ground peanuts, if desired.",canola oil | carrot | sweet potato | sitaw | bean sprout | corn starch | egg | spray | brown sugar | peanut | peanut butter | green leaf lettuce
Fried Chicken a la Max's Restaurant,20 minutes,1 hour,12 hours 20 minutes,6,"4 cups water|3/4 cup kosher salt|3/4 cup sugar|1 large onion, peeled and quartered|1 head garlic, peeled and crushed|2 bay leaves|1 tablespoon peppercorns|1 whole spring chicken (about 3 to 4 pounds)|2 tablespoons fish sauce|canola oil","In a large saucepan, combine 4 cups of water, sugar, and salt. Bring to a boil, stirring until sugar and salt are dissolved.|Remove from heat and refrigerate until completely cold. Add onion, garlic, bay leaves, and peppercorns.|Add chicken to pot to fully submerge in solution. Refrigerate overnight.|Drain chicken from the brine. Rinse well and pat dry.|Steam for about 30 to 40 minutes or until cooked through but not falling apart.|Remove chicken from heat and refrigerate, uncovered, to cool completely. Brush all over with fish sauce.|In a deep, heavy-bottomed pot, heat about 6-inches deep of oil (enough to fully cover chicken during frying) to 350 F.|Gently add chicken and deep fry, turning as needed, for about 5 to 7 minutes until lightly browned. Remove from pot and drain on paper towels. Allow to rest for about 10 minutes.|Reheat cooking oil back to 350 F. Gently add chicken back into hot oil and deep fry for about 5 to 7 minutes or until golden brown and crisp.|Remove chicken from pot and drain on a wire rack. Allow to rest for about 5 minutes before cutting into serving portions.",kosher salt | bay leave | peppercorn | whole spring chicken | canola oil
Lumpiang Shanghai,30 minutes,10 minutes,40 minutes,5,"1 pound ground chicken or pork|1/2 cup green onions, finely chopped|1 can (8 ounces) water chestnuts, drained and finely chopped|1 medium carrot, peeled and shredded|3 cloves garlic, peeled and minced|1 tablespoon soy sauce|1 teaspoon salt|1/2 teaspoon ground black pepper|20 pieces spring roll wrappers|canola oil","In a bowl, combine ground chicken, green onions, water chestnuts, carrots, garlic, soy sauce, salt, and pepper until well distributed.|Separate wrappers into individual sheets and lay on a flat working surface.|Spoon about 1 heaping tablespoon of meat mixture on the lower end of the wrapper, closest to you.|Fold the bottom of wrapper over filling and continue to roll tightly into a thin log about 3/4-inch thick. Wet the remaining edge of the wrapper with a dab of water to completely seal.|Repeat with the remaining mixture. Using scissors, cut each lumpia roll into about 3-inch lengths.|In a pan over medium heat, heat about 2-inch deep of oil. Add lumpia in batches and cook turning on sides as needed, for about 3 to 4 minutes or until golden brown and crisp and meat is cooked through.|Using a slotted spoon or tongs, remove from the oil and drain on a wire rack set over a baking sheet. Serve immediately with sweet and sour sauce or banana ketchup.",chicken | green onion | water chestnut | carrot | spring roll wrapper | canola oil
Ginisang Pusit,10 minutes,20 minutes,30 minutes,4,"2 pounds squid|1/2 cup vinegar|4 cloves garlic, peeled and minced|1/2 teaspoon peppercorns, cracked|1 bay leaf|2 tablespoons canola oil|1 onion, peeled and thinly sliced|2 large Roma tomatoes, chopped|1 tablespoon fish sauce|salt and pepper to taste","Hold the tail tube portion of the squid and with fingers and pull the cuttlebone (the thin, clear cartilage inside the tube) from inside the body, leaving the ink sack intact. Rinse squid thoroughly and drain well.|In a pot over medium heat, combine squid, vinegar, 2 cloves of the garlic, peppercorns, and bay leaf. Bring to a boil for about 3 to 5 minutes or just until squid changes color.|Remove from heat and drain, reserving about 1 cup of the liquid.|In a pan over medium heat, heat 1 tablespoon of the oil. Add onions and the remaining 2 cloves garlic and cook until softened.|Add tomatoes and cook, mashing with the back of a spoon, until softened.|Add fish sauce and cook for about 1 to 2 minutes.|Add squid and cook, stirring regularly, for about 1 minute.|Add reserved liquid and continue to cook until squid is cooked through and sauce is reduced.|Add the remaining tablespoon of oil and toss.|Season with salt and pepper to taste. Serve hot.",squid | peppercorn | bay leaf | canola oil | roma tomato | salt and pepper
Adobong Talaba,10 minutes,15 minutes,25 minutes,4,"1 tablespoon canola oil|2 tablespoons butter|1 onion, peeled and chopped|4 cloves garlic, peeled and minced|2 thumb size ginger, peeled and julienned|2 pounds oysters, (meat only), drained well|1/4 cup soy sauce|pepper to taste|1/4 cup calamansi juice|salt to taste","In a pan over medium heat, heat oil. Add butter.|Add onions, garlic, and ginger. Cook until softened.|Add oysters and saute for about 1 minute.|Add soy sauce, pepper, and Thai chili peppers. Cook for about 1 minute.|Add calamansi juice and bring to a boil. Continue to cook for about 2 to 3 minutes or until sauce is slightly reduced.|Season with salt to taste. Serve hot.",canola oil | butter | thumb size ginger | oyster | calamansi juice
Sinigang na Salmon Belly sa Kamias,10 minutes,20 minutes,30 minutes,4,"6 cups water|1 tablespoon fish sauce|2 cups kamias|1 small onion, peeled and quartered|2 medium tomatoes, quartered|1 banana chili|1 cup labanos (radish), peeled and cut into chunks|1 cup long beans, ends trimmed and cut into 3-inch lengths|1 pound salmon belly, scaled and cut into pieces|1 eggplant, stemmed and cut into chunks|4 pieces okra, ends trimmed|salt to taste|1 bunch bok choy","In a large pot over medium heat, bring water to a boil. Add fish sauce.|Add kamias, onions, tomatoes, and chili pepper. Cook for about 1 to 2minutes.|Add radish and cook for about 1 to 2 minutes.|Add long beans, eggplant, and okra and continue to cook for 2 to 3 minutes.|Add bok choy and cook for another 1 to 2 minutes.|Add salmon and continue to cook for about 7 to 10 minutes or until fish changes color and flakes easily and vegetables are tender yet crisp.|Season with salt to taste. Serve hot.",kamias | tomato | banana chili | labano | long bean | salmon belly | eggplant | okra | bok choy
Picadillo,15 minutes,2 hours,2 hours 15 minutes,4,"1 tablespoon canola oil|1 small onion, peeled and chopped|2 cloves garlic, peeled and minced|2 pounds chuck roast, cut into 1 inch cubes|1 tablespoon fish sauce|2 large tomatoes, chopped|3 cups water|2 pieces chayote, peeled and cut into 1-inch cubes|salt and pepper to taste","In a pot over medium heat, heat oil. Add onions and garlic and cook until softened.|Add beef and cook, stirring occasionally, until no longer pink.|Add fish sauce and continue to cook for about 1 to 2 minutes.|Add tomatoes and cook until softened and begins to release juice.|Add water and bring to a boil. Lower heat, cover and cook for about 1 to 1 1/2 hours or until tender.|Add chayote and cook for about 7 to 10 minutes or until tender.|Season with salt and pepper to taste. Serve hot.",canola oil | chuck roast | tomato | 1 cube | salt and pepper
Spicy Tahong,15 minutes,15 minutes,30 minutes,4,"2 pounds mussels|4 tablespoons olive oil|1 head garlic, peeled and minced|6 Thai chili peppers, stemmed and minced|1 onion, peeled and sliced thinly|1 bell pepper, cored, seeded, and cut into thin strips|1/4 cup tomato sauce|2 tablespoons dry sherry|salt and pepper to taste","Soak the mussels in a bowl of cold water for about 30 minutes. Rinse and drain well. Pull the beard and byssus from the shell to remove.|Place in a pot with enough water to cover. Bring to a boil just until the shells begin to open.|Completely pry open the shells and using a small knife, cut the rubbery muscle which holds the mussel on the shell. Discard shells and set aside the meat.|In a wide pan over medium heat, warm olive oil. Add garlic and chili peppers and cook, stirring regularly, for about 1 to 2 minutes or until fragrant.|Increase the heat to high. Add onions and bell pepper and cook, stirring regularly, for about 1 minute or until tender yet crisp.|Add mussels and continue to cook for about 3 to 5 minutes.|Add tomato sauce and wine. Continue to cook for about 4 to 5 minutes, stirring regularly. Season with salt and pepper to taste.",mussel | olive oil | thai chili pepper | bell pepper | tomato sauce | dry sherry | salt and pepper
Chicken Pochero,15 minutes,40 minutes,55 minutes,6,"1/4 cup canola oil|3 saba bananas, peeled and halved|2 medium potatoes, peeled and quartered|1 onion, peeled and thinly sliced|2 cloves garlic, peeled and minced|3 pounds chicken, cut into serving parts|1 tablespoon fish sauce|1 cup tomato sauce|3 cups water|2 chorizo de bilbao, cut into 1-inch thick pieces|1 cup garbanzo beans|12 pieces green beans, ends trimmed|1/2 napa cabbage, end trimmed and leaves halved|1 bunch pechay, ends trimmed and leaves separated|salt and pepper to taste","In a pot over medium heat, heat oil. Add bananas and fry until lightly browned. Remove from pan and drain on paper towels.|Add potatoes and fry until lightly browned. Remove from pan and drain on paper towels.|Remove excess oil except for about 2 tablespoons. Add onions and garlic and cook until softened.|Add chicken and cook, stirring occasionally, until lightly browned and juices run clear.|Add fish sauce and cook for another 1 to 2 minutes.|Add tomato sauce and water and bring to a boil, skimming any scum that accumulates on top.|Lower heat, cover, and cook for about 15 to 20 minutes or until chicken is cooked.|Add potatoes and cook until tender.|Add chorizo de bilbao, garbanzo beans, and bananas. Cook until heated through.|Add green beans and napa cabbage and cook for another 2 to 3 minutes.|Add pechay and cook for about 1 minute or until vegetables are tender yet crisp. Serve hot.|Season with salt and pepper to taste.",canola oil | saba banana | potato | chicken | tomato sauce | chorizo | garbanzo bean | sitaw | napa cabbage | pechay | salt and pepper
Pork Bistek,15 minutes,1 hour,1 hour 15 minutes,4,"3 pounds bone-in pork chops, about 1/4 inch thick|1/2 cup calamansi or lemon juice|1/4 cup soy sauce|1 large onion, peeled and sliced thinly|1 head garlic, peeled and minced|1/4 teaspoon pepper|3 tablespoons canola oil|1 cup water|salt to taste|1 small onion, peeled and sliced into rings","In a bowl, combine pork, calamansi or lemon juice, soy sauce, onions, garlic, and pepper. Massage the marinade into the meat and marinate for about 30 minutes.|Drain meat, onions, and garlic from marinade, squeezing and reserving excess liquid. Set aside.|In a pan over medium-high heat, heat 2 tablespoons of the oil. Add pork chops and cook for about 2 to 4 minutes per side or until lightly browned. Spoon out and reserve released meat juices during frying. Remove meat from pan and keep warm.|In the pan, add the remaining 1 tablespoon oil. Add the reserved onions and garlic, and cook, stirring regularly, until softened.|Return meat to pan.|Add reserved marinade and meat juices.|Add water and bring to a boil, skimming scum that floats on top.|Cover, lower heat and simmer for about 40 to 50 minutes or until meat is fork-tender and liquid is reduced.|Season with salt to taste.|Add the onion rings. Turn off heat, cover and allow onion slices to cook slightly in the steam. Serve hot.",in pork | lemon juice | canola oil
Ginataang Hipon,10 minutes,30 minutes,40 minutes,4,"1 tablespoon canola oil|1 onion, peeled and chopped|1 thumb-size ginger, peeled and julienned|4 cloves garlic, peeled and minced|1 tablespoon fish sauce|1 can (13.5 ounces) coconut milk|2 Thai chili peppers or Finger chili peppers|1 pound large shrimps, tendrils trimmed|salt and pepper to taste","In a pot, heat oil over medium heat. Add onions, ginger, garlic, and cook, stirring regularly, until softened.|Add fish sauce and continue to cook, stirring regularly, for about 1 minute.|Add coconut milk and chili peppers and bring to a simmer. Lower heat and continue to cook for about 10 to 15 minutes or until reduced in half and starts to render fat.|Add shrimp. Cook, stirring occasionally, until shrimp change color and are cooked through and sauce is thickened.|Season with salt and pepper to taste. Serve hot.",canola oil | thumb size ginger | coconut milk | finger chili pepper | tendril | salt and pepper
Adobong Pusit sa Gata,20 minutes,20 minutes,40 minutes,4,"2 pounds squid|4 cloves garlic, peeled and chopped|1/2 cup vinegar|1/2 cup water|1 bay leaf|salt and pepper to taste|1 tablespoon canola oil|1 onion, peeled and sliced thinly|1 thumb-sized ginger, peeled and julienned|2 large Roma tomatoes, chopped|1 tablespoon fish sauce|1 cup coconut milk|2 Thai chili peppers, stemmed and minced","Holding the squid firmly, pull the head from the body including internal parts and tentacles. Pull out the clear cartilage inside the tube and discard.|Under cold running water, wash the inside and out to remove any debris or excess ink. Drain well and pat dry.|In a pot over medium heat, combine squid, 2 cloves of the garlic, vinegar, water, and the bay leaf. Bring to a boil, uncovered and without stirring, for about 3 to 5 minutes or just until squid changes color. Remove from heat and drain, reserving about 1 cup of the liquid.|In a pot over medium heat, heat oil. Add onions, ginger, the remaining 1/2 of the garlic. Cook until softened.|Add tomatoes and cook, mashing with the back of a spoon, until softened.|Add fish sauce and cook for about 1 minute.|Add coconut milk, reserved liquid, and chili peppers. Bring to a simmer and continue cook until liquid is reduced and begins to render fat.|Add squid and cook for about 3 to 5 minutes or until heated through.|Season with salt and pepper to taste. Serve hot.",squid | bay leaf | salt and pepper | canola oil | ginger | roma tomato | coconut milk | thai chili pepper
Sizzling Sisig,15 minutes,1 hour 30 minutes,1 hour 45 minutes,6,"2 pounds pig face (snouts, ears, and jowls)|1 cup vinegar|1/4 cup soy sauce|1 head garlic, peeled and crushed|1 teaspoon whole peppercorns|2 bay leaves|1 tablespoon salt|water|1 large onion, peeled and diced|6 Thai chili peppers, stemmed and minced|1/2 cup calamansi juice|1 tablespoon Liquid seasoning (I used Maggi)|1/2 cup liver spread|pepper to taste","In a large pot, combine pig face, vinegar, soy sauce, garlic, peppercorns, bay leaves, about 1 tablespoon salt, and enough water to completely cover pork.|Bring to a boil, skimming scum that floats on top. Lower heat, cover, and simmer for about 50 minutes to 1 hour or until meat is tender. Remove from heat and drain well, discarding liquid.|Over a hot grill, grill pork for about 7 to 10 minutes on each side or until crisp and slightly charred. Or arrange in a single layer on a baking sheet and broil in a 450 F oven for about 4 to 5 minutes or until nicely charred.|Remove from heat, allow to cool to touch, and chop meat.|In a large bowl, combine chopped meat, onions, chili peppers, calamansi juice., and liquid seasoning.|And liver spread and gently stir to combine.Season with salt and pepper to taste.|To serve, transfer to sizzling hot plates.",pig face snout | whole peppercorn | bay leave | thai chili pepper | calamansi juice | liver spread
Bopis,15 minutes,40 minutes,1 hour,4,"2 pounds minced pork lungs|1/2 cup vinegar|1 teaspoon salt|2 tablespoons canola oil|1 onion, peeled and chopped|4 cloves garlic, peeled and minced|1 tablespoon fish sauce|1 large carrot, peeled and diced|1/2 green bell pepper, seeded and chopped|1/2 red bell pepper, seeded and chopped|4 Thai chili peppers, stemmed and chopped","In a bowl, combine minced pork lung (or bopis mix), vinegar, and salt. Marinate for about 10 minutes.|In a wide skillet over medium heat, heat oil. Add onions and garlic and cook until softened.|Add fish sauce.|Add minced pork lungs and bring to a boil. Cook, stirring occasionally, for about 20 to 30 minutes or until liquid is mostly absorbed and meat begins to sizzle.|Add carrots, bell peppers, and chili peppers. Continue to cook for about 2 to 3 minutes or until vegetables are tender-crisp.",pork lung | canola oil | carrot | bell pepper | thai chili pepper
Chicken Bicol Express,10 minutes,40 minutes,50 minutes,6,"1 tablespoon canola oil|1 onion, peeled and chopped|4 cloves garlic, peeled and minced|1 thumb-size ginger, peeled and minced|2 pounds boneless, skinless chicken thigh or breast meat, cut into 1-inch cubes|1 tablespoon sauteed shrimp paste|1 can (14 ounces) coconut cream|10 pieces Thai chili peppers, stemmed and minced|2 cups finger chilis, sliced|salt and pepper to taste","In a wide pan over medium heat, heat oil. Add onions, garlic, and ginger. Cook until aromatic.|Add chicken and cook, stirring occasionally, until lightly browned.|Add shrimp paste and cook, stirring occasionally, for about 1 to 2 minutes until meat is evenly coated.|Add coconut cream and Thai chili peppers.|Bring to a simmer, cover, and continue to cook for about 20 to 30 minutes or until chicken is cooked through and sauce is reduced and begins to render fat.|Add finger chilies and continue to cook for about 1 to 2 minutes.|Season with salt and pepper to taste. Serve hot.",canola oil | thumb size ginger | chicken | sauteed shrimp paste | coconut cream | thai chili pepper | finger chili | salt and pepper
Filipino-style Picadillo with Potatoes,10 minutes,20 minutes,30 minutes,6,"1 tablespoon canola oil|1 small onion, peeled and chopped|2 cloves garlic, peeled and minced|1 pound ground beef|3 large Roma tomatoes, chopped|1 tablespoon fish sauce|2 cups water or beef broth|2 medium potatoes, peeled and cubed|salt and pepper to taste|1 tablespoon canola oil|1 onion, peeled and chopped|2 cloves garlic, peeled and minced|1 1/2 pounds ground beef|1 tablespoon fish sauce|1 cup tomato sauce|1/2 cup crushed tomatoes|1/2 cup water or beef broth|2 medium potatoes, peeled and cubed|2 medium carrots, peeled and cubed|2 tablespoons raisins|1/2 cup frozen green peas, thawed|1/4 cup green olives, pitted|salt and pepper to taste","In a pan over medium heat, heat oil. Add onions and garlic and cook until limp.|Add ground beef and cook, breaking to pieces with the back of a spoon, until lightly browned. Drain excess fat, if any.|Add fish sauce and cook for about 1 to 2 minutes.|Add tomatoes and cook, mashing with the back of aspoonuntil softened and release juice.|Add water and bring to a boil. Lower heat, cover and cook for about 10 to 15 minutes or until beef is cooked through.|Add potatoes. Cover and continue to simmer for about 3 to 5 minutes or until tender.|Season with salt and pepper to taste. Serve hot.|In a pan over medium heat, heat oil. Add onions and garlic and cook until softened.|Add ground beef and cook, breaking to pieces with the back of a spoon, until lightly browned. Drain excess fat, if any.|Add fish sauce and cook for about 1 to 2 minutes.|Add tomato sauce and crushed tomatoes.|Add water and bring to a boil. Lower heat, cover and cook for about 10 to 15 minutes or until beef is cooked through.|Add potatoes, carrots, raisins. Cover and continue to simmer for about 3 to 5 minutes or until tender.|Add green peas and olives.|Continue to cook until sauce is reduced and thickened. Season with salt and pepper to taste.",canola oil | beef | roma tomato | beef broth | potato | salt and pepper | tomato sauce | crushed tomato | carrot | raisin | green pea | green olive
Cocido,15 minutes,3 hours,3 hours 15 minutes,6,"3 tablespoons canola oil|3 saba bananas, peeled and halved|1 pound bone-in beef shank|1 large onion, peeled and quartered|3 cloves garlic, peeled|1 teaspoon peppercorns|8 cups water|2 teaspoons salt|5 ounces chorizo de bilbao|4 ounces ham slices|1/2 whole chicken, cut into serving parts|15 ounces garbanzo beans, drained|1 head cabbage, quartered|8 pieces green beans, stemmed|1 bunch pechay, ends trimmed and leaves separated|3 eggplants|3 cloves garlic, peeled and minced|2 tablespoons vinegar|1 tablespoon oil|salt to taste","In a pot over medium heat, heat about 1 tablespoon of oil. Add beef shank and cook on both sides until lightly seared. Remove from pot and set aside.|Add water to the pot and bring to a boil. Return beef shanks and continue to boil, skimming scum that floats on top.|When the broth has cleared, add onions, garlic, peppercorns,and salt. Lower heat, cover, and simmer for about 1 1/2 to 2 hours or until meat is tender.|In a wide pan, heat about 1 tablespoon of oil. Add bananas and cook, turning on sides as needed, until lightly browned. Remove from pan and set aside.|Add chorizo de bilbao. Cook, turning as needed, for about 1 to 2 minutes or until chorizo de bilbao releases color. Remove from pot and set aside.|Add another tablespoon of oil if needed. Add chicken and cook, turning on sides, until lightly browned. Remove from pot and drain on paper towels.|Add chicken, ham, and chorizo de bilbao to the pot and cook, skimming scum that floats on top, for about 15 to 20 minutes or until chicken is cooked through.|Add garbanzo beans and saba bananas and cook for about 3 to 5 minutes or until heated through.|Add green beans and cabbage and cook until tender yet crisp.|Add pechay and cook for another 1 minute. Season with additional salt as needed.|To serve, arrange meat and vegetables on a serving platter. Transfer broth into a serving tureen. Serve hot with berenjana sauce.|Over open stove flames, roast eggplant until skins are charred. Under cold running water, peel and discard skins.|In a bowl, mash eggplant. Add garlic, vinegar, oil and salt to taste.",canola oil | saba banana | in beef shank | peppercorn | chorizo | ham | whole chicken | garbanzo bean | cabbage | sitaw | pechay | eggplant
Pinakbet,15 minutes,30 minutes,45 minutes,4,"1 tablespoon canola oil|1 onion, peeled and chopped|2 cloves garlic, peeled and minced|1/2 pound pork belly, cut into 1-inch cubes|1 tablespoon shrimp paste|2 Roma tomatoes, chopped|2 cups water|1/2 small kalabasa, peeled and cut into pieces|8 okra, ends trimmed|1/2 bunch long beans, ends trimmed and cut into 3-inch lengths|1 medium ampalaya (bittermelon), seeded, halved and cut into 1-inch thick|1 large eggplant, ends trimmed and cut into 1-inch thick|salt and pepper to taste","In pot over medium heat, heat oil. Add onions and garlic and cook, stirring regularly, until softened.|Add pork and cook, stirring occasionally, until lightly browned.|Add shrimp paste and continue to cook, stirring occasionally, until it begins to brown.|Add tomatoes and cook, mashing with the back of a spoon, until softened and have released juice.|Add water and bring to a boil. Lower heat, cover, and cook for about 15 to 20 minutes or until meat is tender. Add more water in 1/2 cup increments as needed to maintain about 1 cup of liquid.|Add squash and cook for about 2 minutes or until almost tender.|Add long beans and continue to cook until tender-crisp.|Add ampalaya, eggplant, and okra. Continue to cook for about 4 to 5 minutes or until vegetables are tender yet crisp.|Season with salt and pepper to taste. Serve hot.",canola oil | pork | roma tomato | kalabasa | okra | long bean | ampalaya | eggplant | salt and pepper
Tokwat Baboy,20 minutes,1 hour,1 hour 20 minutes,6,"1 piece (about 1/2 pound) pork ear|1 pound pork belly|water|1 small onion, peeled and quarted|1 head garlic, peeled and crushed|2 bay leaves|1 teaspoon peppercorns|1 tablespoon salt|1 package (16 ounces) block firm tofu, cut lengthwise into thirds|1/2 cup oil|1/2 cup pork broth (from boiling pork)|1 1/2 cups vinegar|1/4 cup soy sauce|1 teaspoon salt|1/2 teaspoon pepper|2 tablespoons sugar|4 shallots, peeled and chopped|2 Thai chili peppers, chopped","In a pot over medium heat, combine pork ear, pork belly, and enough water to cover. Add onions, garlic, bay leaves, peppercorns, and salt. Bring to a boil, skimming scum that floats on top.|Lower heat, cover, and simmer for about 45 minutes to 1 hour or until meat is fork-tender.|Remove from heat and drain well, reserving 1/2 cup of the liquid. Allow to cool to touch and dice meat.|Drain tofu from packing liquid. Wrap tofu block in paper towels and weigh down with a small plate or cup for about 15 to 20 minutes to excess moisture.|In a pan over medium heat, heat oil. Add tofu and deep-fry, turning as necessary, until golden brown and crisp.|With a slotted spoon, remove tofu and drain on paper towels. Cut into 1-inch cubes.|In a pan over medium heat, combine reserved pork broth, vinegar, soy sauce, salt, pepper, and sugar. Bring to a boil, without stirring, for about 3 to 5 minutes.|In a large bowl, combine diced pork, tofu cubes, shallots, and chili peppers. Pour vinegar dressing and gently toss to distribute.|Transfer into a serving platter and garnish with more chopped shallots and chili peppers.",pork | bay leave | peppercorn | firm tofu | pork broth | shallot | thai chili pepper
Ginataang Puso ng Saging,15 minutes,30 minutes,45 minutes,6,"2 large banana hearts (about 4 pounds)|2 tablespoons rock salt|1 tablespoon canola oil|1 onion, peeled and chopped|3 cloves garlic, peeled and minced|1/2 pound pork belly, diced|1 tablespoon fish sauce|1 can (13.5 ounces) coconut milk|2 Thai chili peppers, stemmed and minced|salt and pepper to taste","Peel and discard the outer, fibrous skin layers of banana heart until you reach the lighter, softer core.|Trim off the stem and discard. Cut into half and slice thinly.|In a large bowl, place theshredded banana heart and rocksalt. Let stand for about 10 to 15 minutes or until it begins to release liquid.Using hands, squeeze to release bitter sap. Rinse very well with cold water and drain.|In a widepan over medium heat, heat oil. Add onions and garlic and cook until softened.|Add pork and cook, stirring occasionally, until lightly browned.|Add fish sauce and continue to cook for about 1 to 2 minutes.|Add banana heart. Cook, stirring occasionally, for about 3 to 5 minutes or until releases liquid.|Add coconut milk and chili peppers.|Lower heat, cover, and continue to cook for about 15 to 20 minutes or until vegetable is tender, pork is cooked through, and sauce is thickened.|Season with salt and pepper to taste. Serve hot.",banana heart | rock salt | canola oil | pork | coconut milk | thai chili pepper | salt and pepper
